path,name,extension,sizeBytes,modifiedAt,mediaType,probableEntity,canonicalSlug,category,realm,language,versionCandidate,duplicateCandidate,quality,publicationUse,repositoryMatch,status,notes
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/2e43db0b-de68-4f26-8825-2a98aed6fab9.png,2e43db0b-de68-4f26-8825-2a98aed6fab9.png,.png,2373604,2026-07-16T21:03:24.976Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/43.png,43.png,.png,2441644,2026-07-16T21:00:55.905Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,true,true,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,version-like-suffix|same-normalized-name-group
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/4b2c32a2-a97b-438b-add6-142246b8a2ba.png,4b2c32a2-a97b-438b-add6-142246b8a2ba.png,.png,7169174,2026-07-14T20:46:03.087Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Banner.jpg,Banner.jpg,.jpg,4031984,2026-07-16T14:18:10.689Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,true,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,same-normalized-name-group
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Banner.svg,Banner.svg,.svg,2209326,2026-07-16T14:17:51.279Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,true,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,same-normalized-name-group
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Brynn Icefang — Rastreadora do Gelo.glb,Brynn Icefang — Rastreadora do Gelo.glb,.glb,69061044,2026-07-14T17:10:40.106Z,model,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,source-only-until-optimized-and-reviewed,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Brynn Icefang — Rastreadora do Gelo.png,Brynn Icefang — Rastreadora do Gelo.png,.png,1550376,2026-07-14T17:10:56.539Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Brynn Icefang — Rastreadora do Gelo.stl,Brynn Icefang — Rastreadora do Gelo.stl,.stl,95189484,2026-07-14T17:10:41.893Z,model,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,source-only-until-optimized-and-reviewed,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Brynn_Icefang_examines_beast_foo…_202607142121.mp4,Brynn_Icefang_examines_beast_foo…_202607142121.mp4,.mp4,2626397,2026-07-15T00:21:51.442Z,video,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,review-before-publication,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Vídeo sem título.gif,Vídeo sem título.gif,.gif,35882667,2026-07-14T19:59:29.671Z,image,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,candidate-for-derivative-generation,false,CONFLICT,
A Irmandade dos Caçadores/Brynn Icefang — Rastreadora do Gelo/Vídeo sem título.mp4,Vídeo sem título.mp4,.mp4,24387940,2026-07-14T19:59:59.633Z,video,brotherhood-of-hunters,brotherhood-of-hunters,faction,,unknown,false,false,requires-visual-or-format-review,review-before-publication,false,CONFLICT,
